main_exposure,outcome,term,estimate,se,nct_id,model_n
cc,no.headaches,(Intercept),-0.477,0.132,NCT00210912,1
cc,no.headaches,age_std,-0.031,0.075,NCT00210912,1
cc,no.headaches,sexTRUE,0.096,0.163,NCT00210912,1
cc,no.headaches,como_cnt,0.143,0.16,NCT00210912,1
cc,no.headaches,(Intercept),-0.483,0.133,NCT00210912,2
cc,no.headaches,age_std,-0.032,0.075,NCT00210912,2
cc,no.headaches,sexTRUE,0.088,0.163,NCT00210912,2
cc,no.headaches,como_cnt,0.411,0.376,NCT00210912,2
cc,no.headaches,I(como_cnt^2),-0.155,0.207,NCT00210912,2
cc,no.headaches,(Intercept),-0.45,0.143,NCT00210912,3
cc,no.headaches,age_std,-0.034,0.076,NCT00210912,3
cc,no.headaches,sexTRUE,0.1,0.165,NCT00210912,3
cc,no.headaches,como_cnt,0.152,0.265,NCT00210912,3
cc,no.headaches,armtreat,-0.065,0.123,NCT00210912,3
cc,no.headaches,como_cnt:armtreat,-0.006,0.33,NCT00210912,3
cc,no.headaches,(Intercept),-0.459,0.144,NCT00210912,4
cc,no.headaches,age_std,-0.037,0.076,NCT00210912,4
cc,no.headaches,sexTRUE,0.088,0.166,NCT00210912,4
cc,no.headaches,armtreat,-0.064,0.124,NCT00210912,4
cc,no.headaches,como_cnt,0.946,0.929,NCT00210912,4
cc,no.headaches,I(como_cnt^2),-0.638,0.768,NCT00210912,4
cc,no.headaches,armtreat:como_cnt,-0.569,1.047,NCT00210912,4
cc,no.headaches,armtreat:I(como_cnt^2),0.524,0.801,NCT00210912,4
cc,no.headaches,(Intercept),-0.446,0.126,NCT00210912,5
cc,no.headaches,age_std,-0.019,0.073,NCT00210912,5
cc,no.headaches,sexTRUE,0.095,0.163,NCT00210912,5
cc,no.headaches,(Intercept),-0.458,0.189,NCT00210912,6
cc,no.headaches,armtreat,-0.051,0.259,NCT00210912,6
cc,no.headaches,age_std,-0.038,0.11,NCT00210912,6
cc,no.headaches,sexTRUE,0.114,0.245,NCT00210912,6
cc,no.headaches,como_cnt,0.147,0.162,NCT00210912,6
cc,no.headaches,armtreat:age_std,0.008,0.151,NCT00210912,6
cc,no.headaches,armtreat:sexTRUE,-0.023,0.335,NCT00210912,6
cc,no.headaches,(Intercept),-0.473,0.191,NCT00210912,7
cc,no.headaches,armtreat,-0.032,0.26,NCT00210912,7
cc,no.headaches,age_std,-0.045,0.111,NCT00210912,7
cc,no.headaches,sexTRUE,0.102,0.245,NCT00210912,7
cc,no.headaches,como_cnt,0.411,0.381,NCT00210912,7
cc,no.headaches,I(como_cnt^2),-0.153,0.21,NCT00210912,7
cc,no.headaches,armtreat:age_std,0.018,0.152,NCT00210912,7
cc,no.headaches,armtreat:sexTRUE,-0.013,0.335,NCT00210912,7
cc,no.headaches,(Intercept),-0.459,0.194,NCT00210912,8
cc,no.headaches,armtreat,-0.049,0.27,NCT00210912,8
cc,no.headaches,age_std,-0.039,0.111,NCT00210912,8
cc,no.headaches,sexTRUE,0.114,0.245,NCT00210912,8
cc,no.headaches,como_cnt,0.152,0.269,NCT00210912,8
cc,no.headaches,armtreat:age_std,0.008,0.154,NCT00210912,8
cc,no.headaches,armtreat:sexTRUE,-0.023,0.335,NCT00210912,8
cc,no.headaches,armtreat:como_cnt,-0.008,0.337,NCT00210912,8
cc,no.headaches,(Intercept),-0.471,0.195,NCT00210912,9
cc,no.headaches,armtreat,-0.042,0.272,NCT00210912,9
cc,no.headaches,age_std,-0.045,0.112,NCT00210912,9
cc,no.headaches,sexTRUE,0.089,0.248,NCT00210912,9
cc,no.headaches,como_cnt,0.953,0.938,NCT00210912,9
cc,no.headaches,I(como_cnt^2),-0.641,0.772,NCT00210912,9
cc,no.headaches,armtreat:age_std,0.015,0.154,NCT00210912,9
cc,no.headaches,armtreat:sexTRUE,0.002,0.337,NCT00210912,9
cc,no.headaches,armtreat:como_cnt,-0.579,1.057,NCT00210912,9
cc,no.headaches,armtreat:I(como_cnt^2),0.527,0.805,NCT00210912,9
cc,no.headaches,(Intercept),-0.434,0.186,NCT00210912,10
cc,no.headaches,armtreat,-0.037,0.258,NCT00210912,10
cc,no.headaches,age_std,-0.029,0.109,NCT00210912,10
cc,no.headaches,sexTRUE,0.124,0.244,NCT00210912,10
cc,no.headaches,armtreat:age_std,0.012,0.15,NCT00210912,10
cc,no.headaches,armtreat:sexTRUE,-0.042,0.334,NCT00210912,10
cc,no.headaches,(Intercept),-0.511,0.175,NCT00210912,11
cc,no.headaches,age_std,-0.105,0.253,NCT00210912,11
cc,no.headaches,I(age_std^2),-0.027,0.087,NCT00210912,11
cc,no.headaches,sexTRUE,0.099,0.164,NCT00210912,11
cc,no.headaches,como_cnt,0.141,0.161,NCT00210912,11
cc,no.headaches,(Intercept),-0.507,0.174,NCT00210912,12
cc,no.headaches,age_std,-0.084,0.254,NCT00210912,12
cc,no.headaches,I(age_std^2),-0.019,0.087,NCT00210912,12
cc,no.headaches,sexTRUE,0.09,0.164,NCT00210912,12
cc,no.headaches,como_cnt,0.401,0.38,NCT00210912,12
cc,no.headaches,I(como_cnt^2),-0.15,0.209,NCT00210912,12
cc,no.headaches,(Intercept),-0.481,0.185,NCT00210912,13
cc,no.headaches,age_std,-0.1,0.255,NCT00210912,13
cc,no.headaches,I(age_std^2),-0.024,0.088,NCT00210912,13
cc,no.headaches,sexTRUE,0.102,0.166,NCT00210912,13
cc,no.headaches,como_cnt,0.145,0.267,NCT00210912,13
cc,no.headaches,armtreat,-0.063,0.123,NCT00210912,13
cc,no.headaches,como_cnt:armtreat,0.002,0.332,NCT00210912,13
cc,no.headaches,(Intercept),-0.484,0.186,NCT00210912,14
cc,no.headaches,age_std,-0.089,0.256,NCT00210912,14
