Index condition,Treatment comparison,N trials,Fixed effects,Random effects
Ankylosing Spondylitis,Tumor necrosis factor alpha (TNF-) inhibitors (L04AB),2, 0.04 (-0.03 to 0.11), 0.05 (-0.53 to 0.66)
Asthma,Glucocorticoids (R03BA),2,-0.22 (-1.07 to 0.54),-0.19 (-1.22 to 0.90)
CIU,Other systemic drugs for obstructive airway diseases (R03DX),3,-0.17 (-0.36 to 0.01),-0.16 (-0.60 to 0.32)
Dementia,Thiazolidinediones (A10BG),3,-0.04 (-0.16 to 0.07),-0.05 (-0.51 to 0.37)
Dementia,Anticholinesterases (N06DA),3,-0.04 (-0.17 to 0.08),-0.04 (-0.35 to 0.26)
Diabetes,INSULINS AND ANALOGUES (A10A) vs Glucagon-like peptide-1 (GLP-1) analogues (A10BJ),2, 0.03 (-0.00 to 0.07), 0.04 (-0.35 to 0.51)
Diabetes,Glucagon-like peptide-1 (GLP-1) analogues (A10BJ),2, 0.07 (-0.02 to 0.16), 0.05 (-0.78 to 0.76)
GORD,Proton pump inhibitors (A02BC),2,-0.02 (-0.07 to 0.03),-0.04 (-0.66 to 0.59)
Hypertension,"ACE inhibitors, plain (C09AA) vs Angiotensin II antagonists, plain (C09CA)",3, 0.14 (-0.13 to 0.41), 0.03 (-0.39 to 0.47)
IBD,Selective immunosuppressants (L04AA),2, 0.05 (-0.06 to 0.17), 0.04 (-0.64 to 0.71)
IBD,Interleukin inhibitors (L04AC)-IL12-IL23,3, 0.01 (-0.17 to 0.17), 0.05 (-0.51 to 0.65)
Inflammatory Arthropathy,Interleukin inhibitors (L04AC)-IL6,4,-0.39 (-0.77 to 0.02),-0.49 (-1.30 to 0.29)
Osteoporosis,Parathyroid hormones and analogues (H05AA),2,-0.03 (-0.09 to 0.02),-0.08 (-0.72 to 0.63)
Osteoporosis,Bisphosphonates (M05BA),2, 0.01 (-0.01 to 0.03), 0.01 (-0.59 to 0.46)
Parkinson Disease,Dopamine agonists (N04BC),4, 0.14 (-0.03 to 0.33), 0.11 (-0.34 to 0.58)
Psoriasis,Interleukin inhibitors (L04AC)-IL12-IL23,2,-0.13 (-0.26 to 0.00),-0.12 (-0.71 to 0.57)
Psoriasis,Interleukin inhibitors (L04AC)-IL17A,4, 0.02 (-0.05 to 0.09), 0.07 (-0.36 to 0.48)
"Pulmonary Disease, Chronic Obstructive",Glucocorticoids (R03BA),3, 0.03 (-0.07 to 0.13), 0.02 (-0.33 to 0.33)
"Pulmonary Disease, Chronic Obstructive",Selective beta-2-adrenoreceptor agonists (R03AC) vs Anticholinergics (R03BB),2, 0.04 (-0.10 to 0.20), 0.04 (-0.56 to 0.72)
Pulmonary Fibrosis,Other protein kinase inhibitors (L01EX),2, 0.01 (-0.15 to 0.17),-0.00 (-0.81 to 0.64)
Restless Legs Syndrome,Dopamine agonists (N04BC),3,-0.02 (-0.33 to 0.27),-0.04 (-0.60 to 0.48)
Systemic Lupus Erythematosus,Selective immunosuppressants (L04AA),2, 0.03 (-0.04 to 0.11), 0.02 (-0.55 to 0.57)
