Index condition,Treatment comparison,antacids,anxiety,arthritis,asthma_COPD,CV,diabetes,erectile,glaucoma,inflammatory,migraine,osteoporosis,pain,thromboembolic,thyroid
Ankylosing Spondylitis,Tumor necrosis factor alpha (TNF-) inhibitors (L04AB), 0.02 (-0.35 to 0.39), 0.03 (-0.17 to 0.23)," ", 0.20 (-0.11 to 0.50), 0.06 (-0.16 to 0.28)," "," "," "," "," ",-0.10 (-0.42 to 0.21), 0.04 (-0.11 to 0.19)," "," "
Ankylosing Spondylitis,Interleukin inhibitors (L04AC)-IL6,-0.17 (-0.43 to 0.09),-0.02 (-0.22 to 0.18)," ", 0.11 (-0.14 to 0.37),-0.10 (-0.33 to 0.13)," "," "," "," "," ", 0.11 (-0.23 to 0.46)," "," "," "
Asthma,Selective beta-2-adrenoreceptor agonists (R03AC),-1.99 (-7.15 to 3.17),-3.52 (-9.95 to 2.91), 0.89 (-4.48 to 6.25)," ",-0.94 (-3.93 to 2.05)," "," "," "," "," "," ",-2.67 (-7.86 to 2.52)," "," "
Asthma,Glucocorticoids (R03BA),-0.67 (-2.47 to 1.09),-0.22 (-1.93 to 1.46),-0.02 (-1.55 to 1.53)," ",-0.06 (-1.43 to 1.32)," "," "," ", 0.01 (-1.86 to 1.90)," "," ",-0.24 (-1.75 to 1.25)," "," "
Asthma,Other systemic drugs for obstructive airway diseases (R03DX),-0.37 (-2.20 to 1.46), 0.13 (-2.18 to 2.44), 2.55 (-0.05 to 5.14)," ",-0.23 (-2.03 to 1.56)," "," "," ",-1.02 (-2.82 to 0.79)," "," ",-1.26 (-3.52 to 0.99)," "," "
BPH,Drugs used in erectile dysfunction (G04BE),-0.30 (-1.02 to 0.46)," ", 0.07 (-0.66 to 0.77)," ",-0.06 (-0.62 to 0.52),-0.36 (-1.15 to 0.49), 0.00 (-0.67 to 0.66)," "," "," "," ", 0.33 (-0.53 to 1.13)," "," "
CIU,Other systemic drugs for obstructive airway diseases (R03DX), 0.07 (-0.58 to 0.75),-0.66 (-1.25 to -0.08)*, 0.09 (-0.70 to 0.86), 0.10 (-0.45 to 0.65),-0.26 (-0.90 to 0.37)," "," "," "," "," "," ",-0.09 (-0.71 to 0.52)," "," "
Dementia,Thiazolidinediones (A10BG),-0.46 (-1.01 to 0.11), 0.04 (-0.33 to 0.40),-0.05 (-0.54 to 0.40)," ",-0.19 (-0.56 to 0.18)," "," "," "," "," "," ", 0.10 (-0.40 to 0.61), 0.05 (-0.54 to 0.64)," "
Dementia,Anticholinesterases (N06DA), 0.14 (-0.30 to 0.60), 0.27 (-0.10 to 0.63), 0.02 (-0.37 to 0.40)," ",-0.18 (-0.48 to 0.14)," "," "," "," "," "," ", 0.12 (-0.27 to 0.50),-0.76 (-1.59 to 0.06)," "
Diabetes,INSULINS AND ANALOGUES (A10A) vs Glucagon-like peptide-1 (GLP-1) analogues (A10BJ), 0.03 (-0.12 to 0.18),-0.04 (-0.17 to 0.10), 0.04 (-0.09 to 0.17)," ", 0.01 (-0.10 to 0.12)," "," ",-0.00 (-0.21 to 0.22)," "," "," ", 0.08 (-0.05 to 0.21)," "," "
