Index condition,Treatment comparison,BMI,EGFR,FIB4,HGB,MBP
Ankylosing Spondylitis,Tumor necrosis factor alpha (TNF-) inhibitors (L04AB), 0.08 (-0.01 to 0.16),-0.06 (-0.14 to 0.03)," ",-0.04 (-0.51 to 0.43), 0.02 (-0.06 to 0.10)
Ankylosing Spondylitis,Interleukin inhibitors (L04AC)-IL6,-0.03 (-0.12 to 0.06)," ",-0.02 (-0.21 to 0.16),-0.01 (-0.10 to 0.08),-0.02 (-0.14 to 0.09)
Asthma,Glucocorticoids (R03BA), 0.02 (-0.63 to 0.67),-3.46 (-20.79 to 13.86),-1.24 (-3.42 to 0.94),-1.16 (-2.27 to -0.05)*," "
Asthma,Other systemic drugs for obstructive airway diseases (R03DX), 0.14 (-0.51 to 0.79),-0.28 (-8.26 to 7.70), 0.33 (-0.92 to 1.58),-0.26 (-1.12 to 0.61), 0.47 (-0.30 to 1.24)
BPH,Drugs used in erectile dysfunction (G04BE), 0.08 (-0.31 to 0.48),-0.36 (-1.11 to 0.53),-0.03 (-0.36 to 0.32),-0.06 (-0.37 to 0.27),-0.02 (-0.39 to 0.36)
CIU,Other systemic drugs for obstructive airway diseases (R03DX), 0.04 (-0.12 to 0.20),-0.03 (-0.88 to 0.79), 0.20 (-0.41 to 0.84),-0.11 (-0.43 to 0.20), 0.12 (-0.16 to 0.41)
Dementia,Thiazolidinediones (A10BG), 0.16 (-0.08 to 0.39),-0.01 (-0.17 to 0.15),-0.06 (-0.24 to 0.12),-0.14 (-0.36 to 0.08),-0.06 (-0.26 to 0.14)
Dementia,Anticholinesterases (N06DA),-0.01 (-0.22 to 0.20), 0.05 (-0.13 to 0.25),-0.01 (-0.14 to 0.12),-0.28 (-1.25 to 0.72),-0.03 (-0.19 to 0.16)
Diabetes,INSULINS AND ANALOGUES (A10A) vs Glucagon-like peptide-1 (GLP-1) analogues (A10BJ), 0.02 (-0.02 to 0.06),-0.01 (-0.13 to 0.11),-0.02 (-0.07 to 0.03), 0.07 (0.02 to 0.12)*,-0.02 (-0.07 to 0.04)
Diabetes,Biguanides (A10BA) vs Glucagon-like peptide-1 (GLP-1) analogues (A10BJ),-0.01 (-0.07 to 0.04), 0.18 (-0.44 to 0.81),-0.06 (-0.13 to 0.02),-0.01 (-0.07 to 0.06),-0.03 (-0.10 to 0.03)
Diabetes,Sulfonylureas (A10BB) vs Dipeptidyl peptidase 4 (DPP-4) inhibitors (A10BH),-0.00 (-0.04 to 0.03), 0.21 (-0.29 to 0.70),-0.01 (-0.06 to 0.04),-0.02 (-0.06 to 0.02), 0.02 (-0.03 to 0.07)
Diabetes,Sulfonylureas (A10BB) vs Sodium-glucose co-transporter 2 (SGLT2) inhibitors (A10BK), 0.02 (-0.03 to 0.06),-0.01 (-0.04 to 0.03),-0.10 (-0.15 to -0.04)*,-0.04 (-0.30 to 0.22), 0.01 (-0.03 to 0.06)
